ClusterHour;slope_Temp;slope_Irrad;intercept;minimum
0;-69.60573476702508;-1495.5461562310452;1184.7413435628393;192.04964322377978
1;-74.79376718606783;-295.44906120789216;1179.4909435932564;166.95419659087173
2;-60.5651777575205;-645.5872215890757;1063.342474342231;167.00038739693647
3;-58.89956331877729;-0.9665195292626221;1038.079931170419;183.95248669155922
4;-62.87671232876713;-142.98411775872097;1143.5723368995077;176.76101803812315
5;-71.95970695970696;-44.95261187773036;1145.9507505732647;192.95866934709088
6;-71.27928772258667;-51.73809523809524;1191.6170718991582;183.96595181688204
7;-73.9543057996485;-9.16910319110418;1339.5425785488223;180.0001334697271
8;-77.61827079934747;-2.1358492812775176;1444.319953775172;199.935655512294
9;-66.66666666666666;-1.4213543004044562;1537.1149172308524;200.00431713972134
10;-60.07552870090634;-0.7835163153917808;1599.6047592821476;214.98149329222866
11;-59.28251121076233;-0.43879147626792836;1641.5223863915985;211.49916597163718
12;-60.2406015037594;-0.4267048031878734;1745.0411366945696;211.50208358976218
13;-64.42622950819673;-0.27467157944804177;1792.0472947793153;206.9991348399601
14;-58.07580174927114;-0.46503603418664213;1826.0912993208865;211.50002562835405
15;-59.285714285714285;-0.37828154667914926;1772.3277041131362;211.49982548034953
16;-59.685393258426956;-0.31262000483810487;1706.9376625864686;220.00214704829625
17;-65.44045102184637;-0.4777857072662016;1742.3997452912788;219.95433674540837
18;-57.85892938294317;-0.9485337666263884;1629.7219702221346;225.07981592704385
19;-61.382228490832155;-2.059587282164758;1648.865152566172;218.74647291135923
20;-62.58064516129032;-5.335559652788543;1597.92694083411;191.0000516280134
21;-69.06645569620254;-27.28125;1573.5909223904325;204.00424230910312
22;-71.88879803761243;-439.6;1484.663736542027;225.06473284505648
23;-75.52721088435374;-2081.9242912298273;1426.4818575003105;208.02544825249677
100;-80.56637168141593;-1544.6813752530127;1427.0324421052771;186.00013696764674
101;-84.85185185185185;-2274.1685292124607;1449.595473158563;186.00002855811752
102;-86.69354838709675;-1252.9439896687131;1446.5536248856652;177.56871201523404
103;-91.00529100529099;-1397.4297772734692;1507.8013486902546;174.02641834367148
104;-92.58547008547009;-1441.7404015292313;1512.9673765805378;177.91055873223647
105;-92.42616033755274;-468.44840321186877;1474.30737298074;184.02517713412584
106;-88.98628319173318;-57.071895424836605;1492.0444952531254;192.99465406772654
107;-77.8076923076923;-9.665745811350657;1515.925997472541;189.0122219530944
108;-71.36116152450089;-2.958770044772811;1582.9196279782716;180.0886119495126
109;-66.52991452991452;-1.8471675680072113;1655.5413004865882;168.98282931383704
110;-72.04717775905644;-1.2221950836270865;1796.45821993882;123.08077806803242
111;-66.03230837121865;-0.5316081745862475;1658.8302107852608;76.10230822365372
112;-64.76479514415782;-0.3074964674163672;1614.026986648117;60.00133370291304
113;-56.246334310850436;-0.47006990283965244;1611.0931380863792;58.99450246717186
114;-51.78855901520637;-0.721184110185096;1715.6384736803354;58.99799866180091
115;-39.592693472569444;-1.1451490690161055;1649.5809783564816;59.942320268254676
116;-33.497406078549886;-1.6165090929239467;1565.5842683993126;87.99561127892486
117;-30.69804957490133;-2.392857142857143;1472.6897086786435;141.99999998780999
118;-37.127297932681635;-3.8530927835051547;1429.1635567227954;175.7988537090409
119;-51.27938159618603;-6.597087378640777;1446.6685893025924;161.02184804356853
120;-65.0964149883927;-10.62655601659751;1469.0375468298716;161.9827713422259
121;-59.06001446131597;-23.74418604651163;1313.608644636594;173.0335236252848
122;-62.31772831926323;-406.0;1229.7428800945731;202.05048607343238
123;-69.4077834179357;-1214.0305089560302;1237.4587378317076;200.99555382056312
200;-58.707964601769895;-41.750117044131116;840.8749298678908;179.97364374513495
201;-60.19963702359347;-1131.9398679043027;841.6855031174749;173.01986546630118
202;-58.620071684587806;-245.55965576113232;832.3369204205145;168.98859238727405
203;-60.17730496453901;-559.0319764522487;795.8224951250061;165.47865313378063
204;-63.08619091751623;-1307.6888195143063;793.564680864376;166.00094211200872
205;-64.06716417910448;-997.7179708801864;825.7481229364103;166.67367499416574
206;-67.91145332050046;-43.55555555555556;903.2086765873245;179.99406989929037
207;-80.03714020427113;-13.180428134556575;1069.4058570905618;186.99979004814185
208;-74.7110332749562;-6.395802098950525;1206.2221366948966;187.52542382471972
209;-64.60526315789473;-3.8396871945259043;1331.0879044153348;186.5287721817029
210;-62.95238095238095;-1.162467871636586;1288.4667603011903;164.90029217582992
211;-65.33435818601076;-0.8184061643959669;1381.7433481266078;155.01067963428437
212;-65.84043377226946;-0.6685479116529514;1460.9835326367947;154.99421818320593
213;-50.93312597200622;-0.8246061657623653;1366.3160112186463;150.49696336882874
214;-63.5187969924812;-1.1321338055689598;1660.0443369834172;159.17271419298518
215;-54.88441461595824;-1.4031701517005006;1592.9298402085205;156.97785177910205
216;-50.36619718309859;-2.1134751773049643;1597.5222095104755;180.0380644126676
217;-53.072164948453604;-2.6158536585365852;1506.1837848111884;190.0011377461196
218;-48.60289057123193;-3.0651041666666665;1336.8257315436847;199.0440899716022
219;-53.947001394700145;-4.694174757281553;1360.246077578307;192.02254937261534
220;-59.23753665689149;-5.68368818740599;1320.4238326165253;192.00002053451522
221;-60.55882352941177;-25.109756097560975;1169.48758702393;206.95981761060546
222;-68.09135399673735;-3.5888251853313844;1208.0586418962168;227.94820368724908
223;-68.23327615780447;-1642.6687715999635;1134.3278877409152;205.9876275796942
